depth_bin,total_obs,bad_count,mean_temp_z,mean_sal_z,bad_pct
0.0,238007,2248,0.7847542240193583,0.6324952264410244,0.94
10.0,203555,2729,0.7874088023390301,0.6298215799119838,1.34
20.0,196419,3012,0.7783826023281587,0.6213373934721415,1.53
30.0,397518,7073,0.7743092150576592,0.600651440480447,1.78
50.0,466805,8138,0.7719714988701848,0.5944745299785509,1.74
75.0,491361,6589,0.7912891054430946,0.5733029563939978,1.34
100.0,426305,5639,0.8042024790436079,0.5702886504365786,1.32
125.0,431537,6313,0.7955085464027283,0.5669601416122564,1.46
150.0,819869,13404,0.7894986098501053,0.5750614399122075,1.63
200.0,1443268,21020,0.8005783932403043,0.5887860594828269,1.46
300.0,1387209,21752,0.7832847661173049,0.5962200793047747,1.57
400.0,1101047,13463,0.7785899841225499,0.5752641023086191,1.22
500.0,2016752,21382,0.8036876310194965,0.5401940159540317,1.06
700.0,2763671,17586,0.8353497794703116,0.5497136441259539,0.64
1000.0,3396936,24722,0.8487348489306709,0.547018896565505,0.73
1500.0,2761947,12528,0.845134545833697,0.5182355886528429,0.45
2000.0,25582,107,0.8123074250605103,0.8396871898602178,0.42
