grid_id,profile_count,mean_temp,min_temp,max_temp,mean_psal,min_psal,max_psal,avg_depth,max_depth,avg_levels,max_levels
29,9610,17.291,-2.008,62.212,35.995,-3.978,62.498,1247.844,6553.5,330.097,2920
30,3635,18.149,-2.004,47.845,36.019,0.0,60.508,1185.242,5009.9,222.198,3564
48,3183,15.768,0.0,59.065,34.798,0.0,60.344,1384.67,6333.9,354.09,3033
49,6243,16.535,-9.0,54.309,35.073,0.0,77.57,1480.924,3925.8,296.529,3311
50,8989,16.19,-2.064,60.508,35.146,0.0,61.439,1484.351,6474.0,320.018,4501
51,1409,16.543,-2.0,32.06,33.9,0.0,84.312,1459.324,5104.8,401.114,2137
67,2206,16.297,-2.0,52.441,35.064,0.0,62.504,1288.679,5654.0,296.036,1579
68,2912,15.101,-2.932,62.468,34.474,-0.001,60.343,1633.988,6505.3,350.073,2788
69,5677,14.766,-9.0,60.67,34.5,0.0,65.248,1704.391,6703.12,401.747,3033
70,6858,14.2,-9.0,60.354,34.177,-1.0,72.289,1763.667,5257.2,325.456,4712
87,2159,14.773,-2.864,59.681,33.705,0.0,63.392,1661.072,6413.8,243.867,2277
88,2184,14.522,-9.0,60.933,34.724,0.0,59.833,1701.47,4964.9,198.948,1542
89,3343,14.281,-0.055,60.663,34.912,0.0,65.473,1765.318,5363.5,259.096,2512
90,4408,14.395,-2.577,60.245,35.123,0.0,72.289,1792.031,6390.1,429.014,4292
107,1956,14.159,-2.0,59.092,34.955,0.0,109.117,1620.872,3127.1,209.303,2316
108,2223,13.624,-0.002,56.797,34.843,0.0,131.747,1650.503,3378.7,185.663,1669
109,2644,13.354,-2.0,59.875,35.058,0.0,64.607,1669.605,6541.8,280.545,2245
110,2590,13.362,0.0,61.706,34.599,0.0,65.099,1698.923,5603.9,407.097,2260
127,1491,12.104,-2.0,36.352,34.817,0.0,103.9,1730.903,3110.9,489.996,3657
128,1610,12.218,-5.0,61.166,34.518,0.0,256.261,1774.745,6553.4,485.257,3215
129,2122,12.801,0.0,61.166,34.843,0.0,133.987,1827.516,6553.4,406.661,3799
130,2803,13.537,-5.0,60.529,34.869,0.0,134.058,1769.233,6553.4,313.06,3367
147,1692,11.348,-2.0,39.314,34.987,0.0,103.9,1907.621,4052.5,453.795,3705
148,1594,12.4,-2.0,61.44,35.065,0.0,61.44,1909.316,6553.4,353.059,3860
149,2191,11.771,-2.009,59.199,34.692,0.0,62.976,2004.019,6553.4,435.222,3806
150,2472,12.126,-2.0,52.295,34.683,0.0,64.905,1846.177,6553.4,379.618,2284
